玩家评价,是否推荐,游玩时长(小时),觉得有价值的人数,觉得好笑的人数
"作为一个塔1 接近270小时的玩家，来简单说一下塔2
实际上我感觉塔2反而像是塔1的资料片。 机制和玩法上并没有太多新东西。大概30个小时解锁全部事件后，就感觉有点索然无味了。
70%的卡牌和遗物都是直接继承塔1的。而新加入的内容里有20%就是纯数值的卡牌/遗物。基本都是0费打x点伤害/格挡，或者打出某种牌给x点攻击/格挡，过于同质化。
新的事件也是挺无聊的，没有任何出彩的地方。
新增加的附魔机制有点新意，但是归根到底还是单纯的在增加数值。就是玩着玩着发现和塔1都没什么区别，中间还给我玩困了差点睡着了。
塔2的数值平衡目前感觉比较糟糕。超模的卡太多了，就是很明显的能感觉到数值在膨胀。当然怪物的伤害也在膨胀，然后现在全职业基本没有回血牌了。 boss遗物提供的加能量上限的也过于拉跨。缺费+缺回血，部分怪又太过逆天，容错特别低。抓不到超模卡第一阶段就很容易暴毙。
而锻造卡牌变得非常无趣，只是简单的提升数值+2~4伤害/格挡，一部分是本来就设计的不合理的高费卡减1费变成勉强能用的卡，最不能理解的是有些锻造只是纯粹的加了个“保留”的词条，何意味？就不能设计一个类似自由锻造，可以给任意卡加自选属性，但是每张卡只能锻造一次之类的？（等等我发现我说的不就是附魔吗，可是附魔又不是可控的，建议把锻造和附魔结合到一起，或许能提高一些游玩性。
而且二代的怪物除了那个区，偷卡的飞虫，还有一阶段一回合打25伤的精英怪外，我对其他怪物就再也没有印象了。

当然我写这些不是说塔2不好玩，因为1代的机制已经足够优秀了。只是2代相较于1代它缺少了创新，显得太过平庸。
有一点还是要说的，能看出来2代在动画上下了很多功夫，但是有点本末倒置了，能玩杀戮尖塔的从来不是冲画面来的。动画整的再丰富也毫无意义。还是把时间多花在平衡和加入新内容上吧。
=============================================================================
顺便说一下两个新角色。
刚玩还挺新鲜的，但是玩了一会儿就发现就是按照：①高费高伤猛攻换血流，②叠甲叠防+关键牌憋尿流，③，0费+高过牌流  这三个思路在设计卡牌，玩一会就发现其实只是战士力量流，猎人毒流，鸡煲万物一心这几个套路换了几个牌，玩起来几乎没有差异性。（删卡otk流就不说了，极端卡组条件太苛刻了。）
而且既然开发了联机玩法，其实就更推荐拉开一些职业的区别。比如说追加一个例如遗物猎人的职业，他的卡牌全是由遗物变为卡牌，遗物会为卡牌提供更多的增益。或者附魔师，他能在休息处为队友的一张牌进行附魔，还比如可以有类似炉石里的牧师，低血量，但是可以用毒奶打别人或者奶自己。而不是只围绕着固定玩法在进行卡牌设计。",推荐,52.0,64,3
好玩，建议出一个指挥系统，集火谁，防御，进攻之类的；再出一个DPS！！看看到底是谁一直防御在划水！！我感觉打出一万吨伤害而我的队友0输出！！！！！！,推荐,36.0,42,18
优秀的数值设计，流畅的打击感，让人欲罢不能的随机性。杀戮尖塔二是在一代的基础上更进一步，新的联机模式也十分有趣，在流畅度这方面完全没得说。经常是开一把一个下午就结束了，非常好游戏,推荐,19.7,36,4
"我宣布，多人联机是杀戮尖塔2最伟大的设计！
鸡宝给费，亡灵给过牌，猎宝启动！",推荐,16.0,35,6
"新角色新怪物都很有意思，还加了好多随机事件还有剧情收集，好玩爱玩！！！
也加了好多动画但是感觉打起来慢了一点，开了加速也有点慢（。
新界面还有点不习惯不过也能接受，但是地图画笔和橡皮都好难用！超级难用！！
（地图颜色mod还有地图路线标记mod我在尖塔2好想你们啊T-T）",推荐,16.1,27,1
"动画里的踩脚袜呢？？
怎么一进游戏发现脚全给包上了😡😡😡",不推荐,22.6,95,178
不是笑话，我是真爱玩鸡煲，多好玩啊！大卡组，随机强，呼风唤雨，数值离谱！天啊完美角色,推荐,22.5,39,57
能不能整个昆虫恐惧症模式，塔2组里是有恋蛆癖吗，恶心死人算了，一堆蛆搁那扭,不推荐,16.0,65,40
"好玩好玩！新画风也很合我胃口
数值感觉还行不是很怪，起码没有蛇花和会捅我的书那种我看到就想叹气的怪
但是我好想猛虎下山TAT",推荐,43.2,32,2
鸡煲的存在已经保证了这个游戏的游戏性完美无瑕,推荐,30.6,24,15
"储君铸剑的设计给我一种观者点穴的感觉，不是不能玩，而是同资源下隔壁转辉星和转姿态一样能把所有人都杀完了
目前a10五连胜了还是觉得铸剑有点弱，希望正式版能加强吧

p.s.但是联机环境下让三个队友看你斩出1000+大数字尾刀还是挺有意思的hh",推荐,52.4,27,2
"塔2的成功证明了一件看似普通却很难得的事：制作组知道自己一代为什么成功，更知道怎么再做一遍
塔2的成功证明了一件看似普通却很难得的事：制作组知道自己一代为什么成功，更知道怎么再做一",推荐,29.9,26,19
能不能把上一代初始三个1滴血敌人的开局还回来呀,推荐,29.7,19,1
有个角色前期删防灌伤害攻哈，后期能靠一张让自己抽二的能力卡完成无限，你知道是谁。,推荐,31.7,16,1
"小刀，我的小刀...！
我缺的刀舞这块谁给我补回来啊？
过了一会：嘻嘻补回来了
----------------------------
...等等，有王国之剑！这铸剑太厉害了..
（甚至结算时的文本是 陛下如何如何，爽）
----------------------------
玩亡灵：我说这牌看起来很强我拿了但是怎么没联动啊是不是不对
过了一会：我说好牌多拿对的对的联动是存在的
----------------------------
疑似鸡煲是最好过女王的，拿了三张华彩重启，抽到什么打什么
我说好牌多抓
我说好牌多
----------------------------
除了战士哥三层boss初见女王缚魂新机制拼尽全力无法战胜，别的角色怕再鬼抽拿牌很均，进阶0都没怎么sl一次通关了。对于角色的痛点，有了很多提供解决办法的新卡，且数值和各种buff给得很慷慨。以及虽然没有了boss遗物的加费，但是也没遇到过缺费的情况。
相应地敌人的数值也提升很高，尤其是塞牌的张数、已经预见到打进阶我将汗流浃背。
----------------------------
附魔也太强了，遇到两次都感觉少努力半层塔。
----------------------------
再等等，sl用少了，才发现塔2好像没有随机数了，我缺的牌序塔学这块谁补给我啊!!",推荐,23.4,42,5
"史一坨，敌人进阶0的数值就明显失衡，出门弱怪池第一个小怪，40血打8上虚弱，打11，打6加力量，他妈的弱怪池小怪意图就这么离谱，塔1进阶20的小怪加力量行动都是占罚站轮次的，你什么水平啊，大鳄虫看了沉默，咔咔看了会流泪。
一层精英塞三个灼伤+，分裂四个20血小怪，纯恶心人的数值设计。
二层精英坚不可摧20，一下子塞四个状态。
三层精英那个大机器人，一下子塞四个灼伤，塞手里，
制作组不塞牌恶心人不会设计怪物了是吧？
然后卡牌设计也明显是完全失去了塔1的灵性，新卡拉出来的全是丐版机器人和观者之流的史设计。
举个例子，精准刀舞体系里面，精准是一个强要求流派卡，刀舞是一个弱要求流派卡吗，精准离了刀史一坨，刀舞离了刀和力量终结技勒脖手里剑苦无一起混一样滋润。
塔2新卡几乎全是精准这种类型的设计，设计几个新词条，然后加一些给新词条定向配合的卡。我说实话这种垃圾设计塔1的mod和路边肉鸽卡牌一抓一大把，小作文写新词条谁还不会堆这个料了？强要求的流派卡意味着你如果卡组玩的不是他体系里面的，他就一文不值，这种情况会导致玩游戏，卡池里有一半卡的纯垃圾，因为他们不是你流派的，在塔1里面机器人和观者这种情况是突出的，重编程社保走物理和球完全互相冲突，老实说观者的预见还是个比较好的广配合机制 ，就这样呢和姿态也是融不到一起，因为我本来就可以抽到的姿态卡为什么要预见呢？其它的什么点穴阿尔法保留操控更是纯填卡池用的。那玩家趋利避害就会完全避开这些垃圾卡，赢不了的游戏谁爱玩？纯污染卡池来的。
新职业玩下来是完全失去了塔1战士和猎人的灵性设计，基本都是定向词条要求配合，你这样搞我建议你把月圆之夜的引导抓卡机制也给加进来，卡组里某种流派卡越多会越容易抓到该流派的卡，要么压缩卡池别搞七八十张那么大的垃圾堆让玩家屎里淘金。塔1拿完美打跳瓶过渡，中后期完全可以跳车玩肚皮烧牌和弃牌转转。塔2目前看你拿了完美打你基本就要围绕完美打走到底了，因为其它卡拿了是融不进来的，只能按流派化打法，我感觉制作组真是崩坠玩了多是吧喜欢流派化设计。我mod属于玩的不多的都看到两张很有既视感的崩坠卡，一个紫人的精神过载，和崩坠枪手的压倒性力量几乎一模一样的设计，加费抽牌的小祭品模版加上一个debuff，最后给它安一个能力卡的类型，你甚至不愿意装装样子把它设计成技能卡，加费抽牌这种明显的一次性技能模版就因为有个特别的debuff要做成能力卡，技能里其实有的是旋身火焰纹这种给自己身上挂个buff，做成能力怕不是直接搬的崩坠。还有另外一张，枪手的永恒形态和储君的虚空形态，3费能力前者每回合前四张减一费，后者前两张免费出。
我觉得制作组没活可以不用硬整，塔1很好，不是非得出个塔2败坏名声的，我玩塔2既不是来玩一个大型dlc也不是来玩小作文mod合集的。像尖塔1战士这种完全融洽于游戏中的设计就再也没有了吗？消耗体系，玩什么卡组里都有几张消耗，消耗就算不触发黑拥无惧这种特定词条，战斗内压缩卡组本身就是有收益的，和别的配很融洽。血量交换的死割放血淤血术的，玩什么都有血条可以交换，力量更是一个百搭的通用buff。而不是说写几个特定词条特定配合，然后打几个小怪发现拿不到自己听的牌什么都抓不了，尖塔是这种刚需听牌的流派化游戏而不是在随机的抓牌中寻找一个通解吗？你不能设计上就搞的把通解的路封太死非要走流派化听牌吧？",不推荐,88.2,31,0
目前感觉最强的应该就是战士哥，已经通关N10了，第二部跟第一部不太一样，对前期初始卡组强度要求很高，不然，不说主动找精英怪送死了，遇到某些逆天小怪也会掉大血，战士纯纯高上限高下限，真无限要求有点高，但就目前难度而言，会掉血的伪无限也足够了，更别说还有全自动，摸到卡组里，剩下的时间全部都是过场cg。,推荐,32.8,14,0
"又来偷我时间了 好好玩啊好好玩啊好好玩啊
包括画风在内的方方面面都精致了不少 在此基础上故事线里的小插图仍把前作那种稚拙的感受保留了下来 我尤其喜欢这一点
大家都好可爱噢TUT 新角色也都很有趣 好喜欢这一作！

（为什么鸡煲都能打赢复活赛紫色女人却没有被邀请 有关系户！",推荐,14.8,11,2
"好玩，期待制作者快快更新，但某些卡有些超模，等待平衡
另外，变脸紫皮人是直接去塔3了吗",推荐,16.0,12,5
"暂时差评
能不能别加牌恶心人了，那个比史莱姆一下加10牌，玩鸡毛",不推荐,26.4,13,7
如果我说我是花钱来玩杀戮尖塔1的内容，你们会不会觉得我是大傻逼,不推荐,45.5,46,8
"目前不推荐.
看了很多人都好评.其中很多都是情怀为主.真正说游戏的少.
如果说1是神作.这作目前最多是佳作.比起2这个词我更觉得这像个1的大型dlc.系统上几乎一模一样.玩起来感觉不到差别.
不知道是不是因为为了配合多人.这个数值单人我感觉是有问题的.大多数怪首回合就是伤害很高的攻击.单怪20-30左右多怪一个10多.还有几乎是个怪都会叠力量.耗也耗不过.导致你前面牌抓的不好启动慢很有可能第一个boss都见不到就被耗死.是真的没有操作空间.还是没进阶的情况下.
说到抓牌.牌和圣物的平衡性也很差.同样金卡有些牌就是何意味.有些牌拿到就跟换了个游戏一样.强度太逆天了.在没有重roll的机制下运气成分很高.
目前来说差强人意.多人体验目测应该还可以.",不推荐,37.1,89,10
"说实话，有点失望。个别小BUG、各种数值崩坏失衡都还在其次，现在是整个设计上感觉开始偏某些国产劣质肉鸽卡牌那种赶着你去玩流派化，不然很多牌拿着不是你这个派系的就完全是垃圾伤口牌，缺少了塔1那种大多数卡牌间都互有各种联动的灵性了，以前抓牌的时候可以有很多思路可以选择，现在玩着就给人一种很僵化的感觉，然后还多了很多怪喜欢乱塞牌限制的你卡组流畅循环运转……那种感觉不知道具体该怎么形容，就是说某些底层逻辑都变了，以前塔1玩着是大道至简的神游，现在这个匠气十足，甚至还不如塔1某些做得比较好的MOD。

不过现在还是EA阶段，也就不太苛求了，等以后官方慢慢打补丁平衡吧，所以这个好评不是给现在的状态，而是给的未来可期。",推荐,45.9,7,0
我说实话，这阶段能给好评全是因为战士哥80血的身板+遗物回6的容错性，玩其他的几个职业劣人，储君和鸡煲，会明显发现防御端根本没办法应付一路上的小怪攻击频率，我不理解制作组怎么能在大部分小怪都有机制的情况下甚至还有会超多的攻击回合，根本不给你喘息时间，牌序一不好就是大战损甚至直接回塔底，我储君打到5难根本打不下去，那个锁20血的珊瑚怪和8层抵消的黑泥怪简直就是噩梦，更别提这代的怪物集团了，4鸟和骑士团简直就是又有机制又有频率还有强度，四鸟自带盾，骑士团给牌挂虚无+抹除升级，然后伤害还一直两位数不停打你，感觉制作组是用根本没试过除了战士哥以外的职业去碰一下这几个逼，你问我是不是漏了什么职业，我只能说有个66血的召唤物职业确实有够好笑，就带了个手进塔真当自己是马头了。,不推荐,30.9,24,3
联机有人断网重连直接坏档，所有人都黑屏进不去，游戏存在严重bug。,不推荐,10.3,6,0
"[h1][b]居然发现玉足BOSS！[/b][/h1]某擦边卡牌游戏【叛逆神魂】的制作喵来敬仰前辈新作！
https://steamcommunity.com/sharedfiles/filedetails/?id=3680933020
已上头，所有角色第一遍已全通，正在进阶，打击感控十分满足。能感觉到音效、UI、特效等进步明显，卡牌端口联动性也更好了。音效真的进步十分明显，能感觉到各种武器的打不同材质的声音~卡牌游戏也能刀刀入肉（？听说尖塔制作人也是动作游戏爱好者，我也是动作+卡牌最爱hhh，虽然我很菜",推荐,26.6,28,7
"非常好玩！回到了初见爬塔时候的开荒乐趣！
但在这里要跟能看到评价的玩家打一下预防针：
1，二代和其他很多欧美独立游戏的续作一样，默认你会一代，也就是说你即便打了教学也并不能解决很多问题，所以零基础的纯粹萌新做好前期吃苦准备。
2，游戏目前处在EA阶段，所以很多效果没做好——比如牌面是乱画的，CG是占位符的，甚至很多翻译是纯英文没做完的，忍不忍得了看个人了。
3，很多评论当前版本联机有BUG，想要联机玩的可能得看看其他人的效果了。",推荐,53.2,5,0
卡没一代看着顺眼，用deck玩很难受，经常卡。不过，很很很很很好玩，期待正式版上成就系统,推荐,8.7,6,0
"经典不愧是经典，二代更像是做加法，老玩家很快就能上手，而且乐趣丝毫不减。目前看来这代除了增加卡牌、事件、遗物等等，还加入了附魔系统，能打出更意想不到的combo出来。BOSS也都整体重制了，有一些借鉴一代的机制让人非常熟悉，也有很多新颖的机制，增加了不少新鲜感。每到达下一层时会遇到新的远古生物，不再是直接给Boss遗物，而是获得更特殊的三种选择。局外还加入了时间线系统，看来这作会着重写世界观了，补全《杀戮尖塔1》之后高塔和角色的故事。后面发现了什么再继续写。

爬塔日记：
第一次玩战士差点首通，输在了三层boss。
109分钟：猎手首通。发现本作最终Boss不是心脏而是个会说话的建筑师。
3小时：储君首通。玩的是铸造流，成长太可怕了。
5小时：第一次联机过，挺有意思的
8.4小时：全角色各通关一次
22小时：战士A10通关
31小时：储君A10通关",推荐,31.2,8,0
还记得玩尖塔1的时候，一晃白天就变成了黑夜，没想到时隔数年还能找到当时的感觉，真的超级好玩呐！！,推荐,32.8,10,1
"不玩难受一天，玩了一天难受。
眼看就要落败，仅剩一缕生机的主角不退反进，精准预判攻势，反手重创反派，在绝境中完成惊天反杀。
你以为主角是玩家，其实玩家是被尖塔守护者丝血反杀的反派",推荐,3.5,8,7
